personId,name,rank,match_personId,match_name,match_team,match_pos,dist
15257,F. Medina,4,2534738,I. Ross,UAT,G,23.1
15257,F. Medina,5,1334179,F. Garcia,WEL,G,24.3
15257,F. Medina,6,2486578,A. Nation,HYM,G,25.1
15257,F. Medina,7,2534733,R. Abell,MAL,G,25.2
15257,F. Medina,8,2620317,T. Ferguson,WEL,SG,25.2
15257,F. Medina,9,16177,M. Romero,MAL,G,25.3
15257,F. Medina,10,15259,S. Zanotta,HYM,G,25.5
15257,F. Medina,11,1989296,T. Rodriguez,BIG,G,26.3
15257,F. Medina,12,2399946,J. Webster,MAL,PG,27.4
1871466,A. Pruitt,1,2074488,M. Benitez,UUN,PF,17.4
1871466,A. Pruitt,2,2486580,J. Canty,HYM,C,20.6
1871466,A. Pruitt,3,208488,J. Ducasse,UAT,F,21.3
1871466,A. Pruitt,4,727814,I. Xavier,HYM,F,22.6
1871466,A. Pruitt,5,17669,G. Espindola,CNF,F,22.7
1871466,A. Pruitt,6,2620318,J. O'neal,COR,F,24.4
1871466,A. Pruitt,7,1567203,M. Oyenard,GOE,PG,24.9
1871466,A. Pruitt,8,2394559,D. Zekovic,MAL,C,25.2
1871466,A. Pruitt,9,191795,S. Ottonello,BIG,PF,25.5
1871466,A. Pruitt,10,1714808,B. Curadossi,UUN,PG,26.2
1871466,A. Pruitt,11,2261706,S. Conceicao,GOE,C,26.6
1871466,A. Pruitt,12,43224,N. Colmenares,DSC,PF,26.8
909792,A. Arevalo,1,2603089,C. Alaekwe,UAT,PG,24.0
909792,A. Arevalo,2,1346396,S. Fernandez,MAL,G,27.6
909792,A. Arevalo,3,2534718,J. Matos,BIG,PG,27.6
909792,A. Arevalo,4,191820,F. Terra,DSC,G,29.5
909792,A. Arevalo,5,2620614,A. Spruill,COR,G,32.4
909792,A. Arevalo,6,2534738,I. Ross,UAT,G,33.3
909792,A. Arevalo,7,15216,E. Gonzalez,COR,F,33.4
909792,A. Arevalo,8,1714808,B. Curadossi,UUN,PG,33.4
909792,A. Arevalo,9,17101,J. Santiso,AGU,G,34.0
909792,A. Arevalo,10,17677,B. Barrera,CNF,F,34.1
909792,A. Arevalo,11,1989296,T. Rodriguez,BIG,G,34.6
909792,A. Arevalo,12,1645559,J. Stoll,WEL,G,36.1
1346396,S. Fernandez,1,16717,G. Semiglia,HYM,F,19.7
1346396,S. Fernandez,2,17071,F. Bavosi,CAP,G,19.8
1346396,S. Fernandez,3,15251,L. Parodi,CNF,G,20.1
1346396,S. Fernandez,4,961332,E. Bonet,GOE,PG,20.8
1346396,S. Fernandez,5,16177,M. Romero,MAL,G,20.9
1346396,S. Fernandez,6,15259,S. Zanotta,HYM,G,21.9
1346396,S. Fernandez,7,17101,J. Santiso,AGU,G,22.0
1346396,S. Fernandez,8,15216,E. Gonzalez,COR,F,22.1
1346396,S. Fernandez,9,1942261,M. Espinosa,BIG,G,22.9
1346396,S. Fernandez,10,2534738,I. Ross,UAT,G,23.6
1346396,S. Fernandez,11,1989296,T. Rodriguez,BIG,G,23.8
1346396,S. Fernandez,12,16511,S. Moglia,WEL,F,24.7
15251,L. Parodi,1,43252,M. Sarni,UUN,G,17.0
15251,L. Parodi,2,1942261,M. Espinosa,BIG,G,17.3
15251,L. Parodi,3,17379,P. Rusch,COR,G,19.4
15251,L. Parodi,4,16177,M. Romero,MAL,G,19.9
15251,L. Parodi,5,1645559,J. Stoll,WEL,G,19.9
15251,L. Parodi,6,1346396,S. Fernandez,MAL,G,20.1
15251,L. Parodi,7,14724,S. Vidal,AGU,G,20.4
15251,L. Parodi,8,961332,E. Bonet,GOE,PG,20.5
15251,L. Parodi,9,16508,A. Acosta,GOE,G,21.3
15251,L. Parodi,10,1334179,F. Garcia,WEL,G,21.9
15251,L. Parodi,11,1989296,T. Rodriguez,BIG,G,22.5
15251,L. Parodi,12,2399946,J. Webster,MAL,PG,22.6
2255313,V. Andrade,1,1709203,E. Holt,UUN,PF,26.9
2255313,V. Andrade,2,2620614,A. Spruill,COR,G,27.5
2255313,V. Andrade,3,191795,S. Ottonello,BIG,PF,28.5
2255313,V. Andrade,4,1661038,P. Gomez,CNF,C,28.8
2255313,V. Andrade,5,1924909,F. Hassell,BIG,C,28.9
2255313,V. Andrade,6,2288279,J. Strings,GOE,C,29.1
2255313,V. Andrade,7,258681,M. Rojas,CAP,PF,29.1
2255313,V. Andrade,8,2261706,S. Conceicao,GOE,C,29.6
2255313,V. Andrade,9,2074488,M. Benitez,UUN,PF,30.4
2255313,V. Andrade,10,2394559,D. Zekovic,MAL,C,31.0
2255313,V. Andrade,11,2486591,Q. Wilson,UAT,PF,31.0
2255313,V. Andrade,12,17691,E. Serres,CAP,F,31.4
43224,N. Colmenares,1,2413907,E. Bell,CNF,PF,18.3
